algorithm_family,all_zero_or_all_one_probability,circuit_id,circuit_index,counts_json,display_name,distinct_outcomes,distribution_fidelity,evidence_type,execute_job_name,ideal_distribution_json,marked_state_probability,repetition,shots_requested,shots_retrieved,target,target_classification,total_variation_distance
GHZ,1.0,ghz_7,3,"{""0000000"": 531, ""1111111"": 469}",GHZ-7,2,0.9990380747,emulator,execute-H2-1LE-matched-r2-20260723T163500Z,"{""0000000"": 0.4999999999999999, ""1111111"": 0.4999999999999999}",,2,1000,1000,H2-1LE,emulator,0.031
Grover,,grover_search_2,4,"{""11"": 1000}",Grover-2,1,1.0,emulator,execute-H2-1LE-matched-r2-20260723T163500Z,"{""11"": 0.9999999999999991}",1.0,2,1000,1000,H2-1LE,emulator,0.0
QFT,,qft_3,5,"{""000"": 111, ""001"": 127, ""010"": 124, ""011"": 131, ""100"": 132, ""101"": 105, ""110"": 127, ""111"": 143}",QFT-3,8,0.997925528762,emulator,execute-H2-1LE-matched-r2-20260723T163500Z,"{""000"": 0.12499999999999994, ""001"": 0.12499999999999994, ""010"": 0.12499999999999994, ""011"": 0.12499999999999994, ""100"": 0.12499999999999994, ""101"": 0.12499999999999994, ""110"": 0.12499999999999994, ""111"": 0.12499999999999994}",,2,1000,1000,H2-1LE,emulator,0.035
QFT,,qft_5,6,"{""00000"": 32, ""00001"": 37, ""00010"": 34, ""00011"": 23, ""00100"": 19, ""00101"": 38, ""00110"": 23, ""00111"": 26, ""01000"": 29, ""01001"": 26, ""01010"": 29, ""01011"": 22, ""01100"": 45, ""01101"": 35, ""01110"": 27, ""01111"": 23, ""10000"": 37, ""10001"": 45, ""10010"": 30, ""10011"": 32, ""10100"": 28, ""10101"": 38, ""10110"": 37, ""10111"": 30, ""11000"": 31, ""11001"": 26, ""11010"": 37, ""11011"": 38, ""11100"": 36, ""11101"": 29, ""11110"": 31, ""11111"": 27}",QFT-5,32,0.989731100162,emulator,execute-H2-1LE-matched-r2-20260723T163500Z,"{""00000"": 0.031249999999999976, ""00001"": 0.031249999999999976, ""00010"": 0.031249999999999976, ""00011"": 0.031249999999999976, ""00100"": 0.031249999999999976, ""00101"": 0.031249999999999976, ""00110"": 0.031249999999999976, ""00111"": 0.031249999999999976, ""01000"": 0.031249999999999976, ""01001"": 0.031249999999999976, ""01010"": 0.031249999999999976, ""01011"": 0.031249999999999976, ""01100"": 0.031249999999999976, ""01101"": 0.031249999999999976, ""01110"": 0.031249999999999976, ""01111"": 0.031249999999999976, ""10000"": 0.031249999999999976, ""10001"": 0.031249999999999976, ""10010"": 0.031249999999999976, ""10011"": 0.031249999999999976, ""10100"": 0.031249999999999976, ""10101"": 0.031249999999999976, ""10110"": 0.031249999999999976, ""10111"": 0.031249999999999976, ""11000"": 0.031249999999999976, ""11001"": 0.031249999999999976, ""11010"": 0.031249999999999976, ""11011"": 0.031249999999999976, ""11100"": 0.031249999999999976, ""11101"": 0.031249999999999976, ""11110"": 0.031249999999999976, ""11111"": 0.031249999999999976}",,2,1000,1000,H2-1LE,emulator,0.0835
Bell,1.0,bell_state,0,"{""00"": 472, ""11"": 528}",Bell-2,2,0.999215384378,emulator,execute-H2-1LE-matched-r3-20260723T163500Z,"{""00"": 0.4999999999999999, ""11"": 0.4999999999999999}",,3,1000,1000,H2-1LE,emulator,0.028
GHZ,1.0,ghz_3,1,"{""000"": 520, ""111"": 480}",GHZ-3,2,0.999599839872,emulator,execute-H2-1LE-matched-r3-20260723T163500Z,"{""000"": 0.4999999999999999, ""111"": 0.4999999999999999}",,3,1000,1000,H2-1LE,emulator,0.02
GHZ,1.0,ghz_5,2,"{""00000"": 483, ""11111"": 517}",GHZ-5,2,0.999710916431,emulator,execute-H2-1LE-matched-r3-20260723T163500Z,"{""00000"": 0.4999999999999999, ""11111"": 0.4999999999999999}",,3,1000,1000,H2-1LE,emulator,0.017
GHZ,1.0,ghz_7,3,"{""0000000"": 516, ""1111111"": 484}",GHZ-7,2,0.99974393443,emulator,execute-H2-1LE-matched-r3-20260723T163500Z,"{""0000000"": 0.4999999999999999, ""1111111"": 0.4999999999999999}",,3,1000,1000,H2-1LE,emulator,0.016
Grover,,grover_search_2,4,"{""11"": 1000}",Grover-2,1,1.0,emulator,execute-H2-1LE-matched-r3-20260723T163500Z,"{""11"": 0.9999999999999991}",1.0,3,1000,1000,H2-1LE,emulator,0.0
QFT,,qft_3,5,"{""000"": 124, ""001"": 128, ""010"": 153, ""011"": 110, ""100"": 104, ""101"": 133, ""110"": 120, ""111"": 128}",QFT-3,8,0.996931894694,emulator,execute-H2-1LE-matched-r3-20260723T163500Z,"{""000"": 0.12499999999999994, ""001"": 0.12499999999999994, ""010"": 0.12499999999999994, ""011"": 0.12499999999999994, ""100"": 0.12499999999999994, ""101"": 0.12499999999999994, ""110"": 0.12499999999999994, ""111"": 0.12499999999999994}",,3,1000,1000,H2-1LE,emulator,0.042
QFT,,qft_5,6,"{""00000"": 28, ""00001"": 30, ""00010"": 30, ""00011"": 31, ""00100"": 28, ""00101"": 45, ""00110"": 27, ""00111"": 31, ""01000"": 29, ""01001"": 27, ""01010"": 30, ""01011"": 34, ""01100"": 39, ""01101"": 26, ""01110"": 29, ""01111"": 26, ""10000"": 32, ""10001"": 39, ""10010"": 23, ""10011"": 35, ""10100"": 29, ""10101"": 29, ""10110"": 31, ""10111"": 33, ""11000"": 30, ""11001"": 32, ""11010"": 27, ""11011"": 36, ""11100"": 42, ""11101"": 30, ""11110"": 29, ""11111"": 33}",QFT-5,32,0.994684636136,emulator,execute-H2-1LE-matched-r3-20260723T163500Z,"{""00000"": 0.031249999999999976, ""00001"": 0.031249999999999976, ""00010"": 0.031249999999999976, ""00011"": 0.031249999999999976, ""00100"": 0.031249999999999976, ""00101"": 0.031249999999999976, ""00110"": 0.031249999999999976, ""00111"": 0.031249999999999976, ""01000"": 0.031249999999999976, ""01001"": 0.031249999999999976, ""01010"": 0.031249999999999976, ""01011"": 0.031249999999999976, ""01100"": 0.031249999999999976, ""01101"": 0.031249999999999976, ""01110"": 0.031249999999999976, ""01111"": 0.031249999999999976, ""10000"": 0.031249999999999976, ""10001"": 0.031249999999999976, ""10010"": 0.031249999999999976, ""10011"": 0.031249999999999976, ""10100"": 0.031249999999999976, ""10101"": 0.031249999999999976, ""10110"": 0.031249999999999976, ""10111"": 0.031249999999999976, ""11000"": 0.031249999999999976, ""11001"": 0.031249999999999976, ""11010"": 0.031249999999999976, ""11011"": 0.031249999999999976, ""11100"": 0.031249999999999976, ""11101"": 0.031249999999999976, ""11110"": 0.031249999999999976, ""11111"": 0.031249999999999976}",,3,1000,1000,H2-1LE,emulator,0.05625
